start,end,speaker,text
"00:04:08.690","00:04:09.110","1","Dalam tinjauan."
"00:04:09.190","00:04:12.890","3","Dalam tinjauan berarti kan lagi proses dibuat gitu kan penawarannya."
"00:04:12.890","00:04:13.090","3","Ya, betul."
"00:04:13.430","00:04:15.470","3","Kalau sudah dikirim berarti kan baru direspon gitu ya?"
"00:04:15.850","00:04:16.170","1","Betul."
"00:04:17.230","00:04:17.580","3","Oke."
"00:04:18.810","00:04:21.190","1","Ataupun memang ada status yang lain mungkin..."
"00:04:22.310","00:04:25.310","1","Kalau mau tambah juga bisa juga seperti itu."
"00:04:26.350","00:04:28.190","3","Sebetulnya statusnya nanti..."
"00:04:29.010","00:04:32.520","3","Di sini kan kalau lihat kolomnya..."
"00:04:32.520","00:04:37.310","3","Itu kan tidak ada kaitannya sama si proyek tadi."
"00:04:39.190","00:04:44.230","3","Nah, kalau dari sisi kami sebetulnya nama proyek itu juga penting."
"00:04:44.230","00:04:46.550","3","Jadi, semisal nih..."
"00:04:46.550","00:04:53.130","3","Proyek itu di inputnya manual sama timnya kami gitu ya, Mas."
"00:04:53.630","00:04:56.230","3","Ternyata pada saat permintaan penawaran..."
"00:04:56.230","00:04:59.990","3","Si pelanggan kita ini ngesubmit nama proyek baru."
"00:05:00.770","00:05:04.020","3","Nah, karena database di proyeknya kita belum ada."
"00:05:04.140","00:05:08.430","3","Jadi, si tim sales ini harus ngisi base data proyeknya dulu gitu."
"00:05:09.190","00:05:09.670","","Oke."
"00:05:10.350","00:05:12.230","3","Jadi, nanti biar di permintaan penawaran ini..."
"00:05:12.890","00:05:14.230","3","Bisa ada kolom muncul..."
"00:05:14.230","00:05:19.230","3","Nama proyek yang sinkron sama si proyek yang data internalnya kita..."
"00:05:19.230","00:05:20.170","3","Oh, baik."
"00:05:20.630","00:05:23.230","3","Misalkan mungkin nama proyeknya kita inputnya..."
"00:05:23.230","00:05:25.850","3","Katakanlah base datanya sudah ada nama proyek..."
"00:05:25.850","00:05:28.850","3","Misalnya pembangunan apartemen Makassar gitu ya."
"00:05:28.850","00:05:39.670","3","Ternyata si pelanggan kita memasukkannya proyek apartemen Tanjung Bunga Makassar."
"00:05:39.810","00:05:41.890","3","Padahal proyeknya sama-sama itu gitu."
"00:05:42.270","00:05:44.890","3","Nah, ketika si pelanggan masuk itu..."
"00:05:44.890","00:05:48.690","3","Tapi, kita tahu bahwa proyeknya itu adalah pembangunan apartemen Makassar itu..."
"00:05:48.690","00:05:49.670","3","Yang di base datanya kita..."
"00:05:49.670","00:05:51.030","3","Nah, itu di linkan gitu."
"00:05:51.730","00:05:54.170","3","Jadi, nanti nama PISD segala macem..."
"00:05:54.170","00:05:55.410","3","Prosesnya terlinkan."
"00:05:55.510","00:05:56.970","3","Termasuk status..."
"00:05:56.970","00:05:59.710","3","Status proyek ini sudah berhasil atau tidak..."
"00:05:59.710","00:06:01.510","3","Itu sinkron juga sama penawarannya..."
"00:06:01.510","00:06:03.670","3","Itu statusnya sudah berhasil atau tidak."
"00:06:04.110","00:06:06.830","3","Tapi, base datanya tetap dari monitoring proyek gitu."
"00:06:07.670","00:06:08.110","1","Oh, baik."
"00:06:09.290","00:06:11.770","1","Pait penawarannya tersebut juga..."
"00:06:11.770","00:06:14.670","1","Berarti penawaran itu sekedar..."
"00:06:14.670","00:06:16.930","1","Hanya penawaran di awal gitu ya, Pak."
"00:06:17.410","00:06:19.370","1","Gak ada keberlanjutannya."
"00:06:19.530","00:06:21.270","1","Tapi, keberlanjutannya itu nanti..."
"00:06:21.270","00:06:22.550","1","Di dalam proyeknya itu sendiri."
"00:06:23.390","00:06:23.890","3","Gimana, gimana?"
"00:06:24.190","00:06:24.430","3","Coba dulu."
"00:06:25.430","00:06:26.990","1","Penawarannya itu..."
"00:06:26.990","00:06:30.850","1","Hanya sekedar inisialisasi awal dari..."
"00:06:30.850","00:06:33.670","1","PINnya Bapak ataupun dari..."
"00:06:33.670","00:06:35.370","1","Eksternal gitu kan ya."
"00:06:36.030","00:06:38.710","1","Nanti masalah manajemennya itu..."
"00:06:38.710","00:06:40.450","1","Diatur dalam proyek begitu ya."
"00:06:41.330","00:06:43.030","3","Diatur dalam proyek, betul."
"00:06:43.170","00:06:43.830","3","Jadi..."
"00:06:43.830","00:06:45.630","1","Dan tinggal dilingkan aja gitu saat penawarannya."
"00:06:45.630","00:06:46.430","1","Tinggal dilingkan aja."
"00:06:46.730","00:06:46.930","1","Betul."
"00:06:47.310","00:06:47.970","1","Oke, base."
"00:06:48.690","00:06:49.810","3","Tapi di penawaran..."
"00:06:49.810","00:06:51.770","3","Pada saat menu penawaran itu..."
"00:06:51.770","00:06:53.390","3","Mas juga munculkan status..."
"00:06:53.390","00:06:54.930","3","Status proyek atas proyek itu kan."
"00:06:55.010","00:06:55.890","3","Ini kan belum ada muncul..."
"00:06:55.890","00:06:56.010","3","Oh, iya."
"00:06:56.350","00:06:56.830","3","Nama proyek."
"00:06:56.850","00:06:57.310","1","Baik, baik-baiknya sih."
"00:06:57.770","00:06:58.670","1","Dilingkan juga ya."
"00:06:59.190","00:07:00.070","1","Proyeknya apa."
"00:07:00.790","00:07:02.070","1","Terus nanti..."
"00:07:02.070","00:07:03.790","1","Status proyeknya apa gimana gitu ya."
"00:07:04.010","00:07:05.590","3","Nah, berarti ini nanti..."
"00:07:05.590","00:07:08.450","3","Yang status ini mungkin nama kolomnya berubah gitu ya."
"00:07:08.510","00:07:08.990","3","Biar nggak..."
"00:07:08.990","00:07:11.010","3","Nggak ada double nama status kan ya."
"00:07:11.670","00:07:14.630","3","Mungkin bahasanya tanggal mungkin tindak lanjut gitu kan."
"00:07:14.730","00:07:16.510","3","Misalnya sudah dalam tinjauan."
"00:07:16.990","00:07:18.270","3","Kalau sudah di..."
"00:07:18.270","00:07:20.270","3","Respon atau sudah dikirim..."
"00:07:20.270","00:07:24.690","3","Nanti statusnya sudah dikirim penawaran kan ini lebih ke penawaran sudah dikirim atau belum?"
"00:07:25.530","00:07:25.930","","Oh, baik."
"00:07:27.350","00:07:28.990","3","Mungkin gitu ya, Mas Irham ya."
"00:07:29.650","00:07:29.850","","Ya."
"00:07:30.990","00:07:34.810","3","Jadi nanti ini bisa lihat penawaran, oh sudah dikirim ternyata atas proyek ini."
"00:07:35.250","00:07:37.330","3","Tinggal kita lihat statusnya ternyata masih prospek."
"00:07:37.470","00:07:38.570","3","Berarti kan nanti follow up lagi."
"00:07:39.570","00:07:39.730","","Jadi..."
"00:07:39.730","00:07:45.650","3","Nama proyek sama statusnya tetap muncul di sini, tapi dia sinkron sama database-nya proyek itu."
"00:07:48.650","00:07:51.570","3","Salah konsepnya mungkin ke situ."
"00:07:52.610","00:07:55.010","3","Sama jadi proyek itu..."
"00:07:55.010","00:07:55.730","3","Coba boleh lihat lagi."
"00:07:59.330","00:08:00.790","3","Ini sudah ada pelanggannya."
"00:08:00.970","00:08:02.530","3","Coba yang view, Mas, izin."
"00:08:05.030","00:08:05.590","3","Bawah."
"00:08:08.310","00:08:08.830","3","Oke."
"00:08:08.830","00:08:14.150","3","Nah, tadi kan ada penilaian proyek atau penilaian pelanggan ya, Mas, ya?"
"00:08:14.570","00:08:14.770","","Ya."
"00:08:16.950","00:08:17.590","3","Itu."
"00:08:19.210","00:08:19.470","3","Oke."
"00:08:19.870","00:08:20.830","3","Ketika kita..."
"00:08:23.570","00:08:27.570","3","Oh, ini atas terhadap person ya, Mas?"
"00:08:27.590","00:08:28.590","1","Terhadap person, ya."
"00:08:28.990","00:08:30.350","3","Karena Mas ini kan..."
"00:08:30.350","00:08:31.570","3","Apa namanya?"
"00:08:35.160","00:08:37.660","3","Scoring-nya maksudnya ditambah log."
"00:08:38.210","00:08:39.350","3","Semisal..."
"00:08:40.570","00:08:47.230","3","Proyek ini dari sisi pelaksanannya sudah selesai, kan sebenarnya kita baru menilai pelanggan atas proyek ini."
"00:08:48.410","00:08:49.010","","Baik."
"00:08:49.750","00:08:56.590","3","Jadi, penilaian pelanggan tadi ada status, masalah skor pembayaran."
"00:08:57.110","00:09:01.970","3","Nanti mungkin item penilaiannya saya lupa ada di tim..."
"00:09:01.970","00:09:02.950","3","Ada di Mas Sul."
"00:09:03.070","00:09:04.160","3","Nanti mungkin bisa koreksi."
"00:09:04.710","00:09:05.970","3","Kalau sudah kita kontrak ya."
"00:09:06.370","00:09:10.130","3","Jadi intinya sih, saya ini ketika proyek ini statusnya berhasil,"
"00:09:10.690","00:09:16.610","3","Kemudian dari sisi lapangannya sudah selesai, itu ada tadi yang penilaian."
"00:09:17.040","00:09:19.350","3","Tapi penilaian itu terhadap si satu proyek ini."
"00:09:20.110","00:09:25.870","1","Satu proyek berarti bukan dari bentukkan perpertemuan atau perfollow akum gitu ya, Pak?"
"00:09:25.990","00:09:26.250","3","Bukan."
"00:09:26.470","00:09:26.970","3","Jadi..."
"00:09:26.970","00:09:28.710","3","Bukan perfollow akum."
"00:09:28.710","00:09:33.950","3","Jadi penilaiannya, base-nya adalah terhadap proyek dan nama perusahaan itu gitu."
"00:09:34.790","00:09:35.190","1","Oh, baik."
"00:09:35.920","00:09:36.370","3","Itu sih."
"00:09:36.540","00:09:42.970","3","Jadi nanti pada saat kita mungkin di form monitoring penilaian, di menu penilaian itu,"
"00:09:43.540","00:09:46.830","3","kan muncul tuh nama-nama PIC atau nama-nama perusahaannya kan?"
"00:09:47.350","00:09:47.710","3","Nama-nama..."
"00:09:47.710","00:09:51.030","3","Nama-nama pelanggannya kan?"
"00:09:51.990","00:09:54.990","3","Nah, itu di riwayat pelanggannya ini."
"00:09:55.230","00:09:56.070","3","Nah, balik lagi ke sini."
"00:09:56.540","00:09:58.210","3","Di riwayat pelanggannya ini ada..."
"00:09:58.210","00:09:59.570","1","Pelanggannya, Pak?"
"00:09:59.970","00:10:00.530","3","Ada pelanggan."
"00:10:01.290","00:10:04.630","3","Nah, ini ada historis penilaiannya, ya?"
"00:10:06.150","00:10:07.540","1","Di sini, ya?"
"00:10:07.910","00:10:08.770","1","Oh, belum ada sepertinya."
"00:10:08.920","00:10:09.730","3","Misal di perusahaan."
"00:10:11.070","00:10:12.010","1","Riwayat kontrak?"
"00:10:12.490","00:10:15.350","3","Kontrak-kontrak sama historis penilaian, mungkin ya."
"00:10:15.470","00:10:16.090","3","Mungkin kan dia..."
"00:10:16.090","00:10:16.750","1","Oh, oke."
"00:10:17.370","00:10:20.850","1","Ini riwayat kontrak bisa saya anggot sebagai riwayat proyeknya gitu ya, Pak?"
"00:10:21.410","00:10:22.790","3","Riwayat kontrak betul."
"00:10:22.890","00:10:29.660","3","Jadi, riwayat proyek yang sudah berhasil atas nama PT Maju Bersama sama PIC-nya siapa, gitu kan?"
"00:10:30.270","00:10:32.690","3","Dia kan akan masuk database ke sini gitu ya, Mas Ya?"
"00:10:33.470","00:10:34.090","1","Ya, oke."
"00:10:34.850","00:10:35.090","3","Betul."
"00:10:35.390","00:10:38.970","3","Jadi, sebenarnya base datanya semua tuh yang besarnya mungkin menurut saya ada di proyek."
"00:10:39.090","00:10:43.750","3","Jadi, proyek ini sebagai database untuk penambahan data di riwayat kontrak."
"00:10:43.750","00:10:50.830","3","Selain nanti nama proyek dan nilainya, eh nilai omsetnya juga nilai terhadap pelanggan"
"00:10:50.830","00:10:52.650","3","dan perusahaan tersebut gitu ya."
"00:10:55.650","00:10:56.790","3","Nangkep ya, Mas Hiram ya?"
"00:10:57.250","00:10:57.810","1","Ya, nangkep."
"00:10:58.750","00:11:02.290","3","Mungkin agak rumit di sisi logika pengumum hubungnya ini kan."
"00:11:03.510","00:11:05.290","3","Kita coba butuh data itu."
"00:11:06.290","00:11:07.010","","Baik."
"00:11:10.270","00:11:12.570","3","Kalau historis persennya, bahasanya apa, Mas Ya?"
"00:11:13.370","00:11:14.670","1","History persennya."
"00:11:15.090","00:11:17.230","1","Maksudnya, history persen itu..."
"00:11:17.230","00:11:18.410","3","Di kipersen, coba."
"00:11:19.190","00:11:20.230","1","Kipersen, oke."
"00:11:20.730","00:11:23.310","3","Dibuka salah satu, di view atau bisa dibuka?"
"00:11:25.370","00:11:27.790","1","Ini mungkin nabung ke perusahaannya sih."
"00:11:28.170","00:11:30.050","1","Di bagian kontaknya, mungkin ya."
"00:11:31.670","00:11:32.250","1","Oke."
"00:11:32.250","00:11:33.510","1","Itu yang keman kepikiran sih."
"00:11:34.150","00:11:34.350","","Oke."
"00:11:34.970","00:11:35.690","3","Oke."
"00:11:36.070","00:11:38.790","3","Coba lihat lagi data pelanggannya, Mas."
"00:11:39.870","00:11:40.970","1","Data pelanggannya, oke."
"00:11:41.050","00:11:41.990","3","View persennya."
"00:11:42.430","00:11:42.970","3","View kipersennya."
"00:11:42.970","00:11:43.470","1","View persennya."
"00:11:43.970","00:11:45.350","3","Viewnya tadi apa aja?"
"00:11:46.650","00:11:46.970","1","Viewnya..."
"00:11:46.970","00:11:49.430","3","Oh, atas nama perusahaannya ya?"
"00:11:50.090","00:11:50.330","1","Ya."
"00:11:50.750","00:11:51.850","1","Atas nama perusahaannya."
"00:11:52.010","00:11:52.470","1","Tapi atas?"
"00:11:52.970","00:11:53.730","3","Oke."
"00:11:54.070","00:11:55.350","3","Atas key persennya sendiri,"
"00:11:56.190","00:11:58.890","3","bahwa data pribadi,"
"00:11:59.350","00:11:59.690","3","mohon maaf,"
"00:12:00.090","00:12:03.010","3","data profiling pelanggan itu,"
"00:12:03.190","00:12:04.930","3","misal katakanlah ada hobinya,"
"00:12:05.090","00:12:05.830","3","suka lari,"
"00:12:06.050","00:12:07.010","3","suka segala macem."
"00:12:07.130","00:12:08.930","3","Kemudian karakternya dia,"
"00:12:10.390","00:12:12.350","3","ya mungkin bahasanya nanti semua manual ya,"
"00:12:12.350","00:12:14.310","3","karena yang didescribekan itu,"
"00:12:14.830","00:12:16.110","3","si salesnya ini,"
"00:12:16.450","00:12:17.970","3","yang menceritakan terkait."
"00:12:18.570","00:12:19.870","3","Nah, mungkin setelah kontak ini,"
"00:12:19.870","00:12:20.970","3","kalau bisa di klik,"
"00:12:21.110","00:12:22.950","3","itu dia ada satu view khusus si Pak Hennel."
"00:12:22.970","00:12:23.510","3","Tandanya gitu."
"00:12:24.050","00:12:24.570","1","Oh, baik."
"00:12:25.470","00:12:26.810","3","Ya, penilaian terhadap lognya,"
"00:12:26.890","00:12:28.490","3","tadi menurut saya juga penting,"
"00:12:28.610","00:12:31.190","3","tapi mungkin skornya lebih ke karakter ya,"
"00:12:31.350","00:12:32.170","3","tidak ke skor."
"00:12:32.290","00:12:34.590","3","Tadi kan skornya di pembayaran,"
"00:12:34.730","00:12:35.610","3","sama apa skoring,"
"00:12:35.710","00:12:36.210","3","apa satu lagi?"
"00:12:36.330","00:12:37.150","3","Ada dua tuh, Mas."
"00:12:37.330","00:12:37.850","3","Oh, iya benar-benar."
"00:12:38.370","00:12:39.450","3","Pada saat ditambahkan log,"
"00:12:39.550","00:12:39.870","3","itu kan,"
"00:12:40.530","00:12:41.450","3","Mas munculnya,"
"00:12:43.250","00:12:43.950","3","log pelanggan,"
"00:12:44.450","00:12:45.170","3","eh, tambah log,"
"00:12:45.970","00:12:47.150","3","itu kan skor hubungan,"
"00:12:47.250","00:12:48.270","3","nah ada skor pembayaran."
"00:12:49.030","00:12:50.350","1","Ya, mungkin ketika tegori,"
"00:12:51.350","00:12:52.930","3","skor pembayaran ini"
"00:12:52.930","00:12:54.630","3","tidak masuk di person,"
"00:12:54.750","00:12:55.810","3","tapi di perusahaan."
"00:12:56.270","00:12:57.270","3","Pada saat kita menilai"
"00:12:57.270","00:12:58.350","3","si project sama si perusahaan."
"00:13:03.810","00:13:04.690","3","Kalau ini kan nanti,"
"00:13:05.150","00:13:07.730","3","nanti historis di,"
"00:13:07.730","00:13:09.290","3","profiling,"
"00:13:09.690","00:13:10.950","3","profiling si,"
"00:13:11.490","00:13:12.910","3","key person-nya,"
"00:13:13.110","00:13:13.550","3","itu juga,"
"00:13:14.050","00:13:15.530","3","mungkin penuh ditambahkan."
"00:13:16.790","00:13:23.330","3","mungkin yang kurang adalah profiling tadi,"
"00:13:23.450","00:13:24.610","3","profiling pelanggannya,"
"00:13:24.730","00:13:25.790","3","kayaknya masih belum ada ya."
"00:13:26.570","00:13:26.750","1","Nah,"
"00:13:27.010","00:13:27.970","1","Pak Hendran ini."
"00:13:28.710","00:13:28.830","1","Ya,"
"00:13:29.250","00:13:29.950","1","kemarin sebenarnya,"
"00:13:30.110","00:13:30.830","1","kayaknya sudah ada,"
"00:13:31.010","00:13:32.170","1","cuma kayaknya kehapus,"
"00:13:32.310","00:13:32.670","1","karena,"
"00:13:33.450","00:13:36.090","1","apa ya,"
"00:13:36.130","00:13:36.950","1","satu dan lain hal."
"00:13:37.750","00:13:39.090","1","Sudah ada simpat,"
"00:13:39.350","00:13:40.430","1","cuma kehapus lagi, Pak."
"00:13:42.590","00:13:44.090","3","Jadi kalau atas nama perusahaan"
"00:13:44.090","00:13:45.090","3","yang ada di buat kontrak,"
"00:13:45.230","00:13:45.810","3","kalau atas,"
"00:13:46.590","00:13:47.090","3","key person-nya,"
"00:13:47.130","00:13:47.730","3","atau kontraknya,"
"00:13:47.850","00:13:48.650","3","misal Pak Hendran ini,"
"00:13:49.410","00:13:49.730","3","itu,"
"00:13:50.730","00:13:52.130","3","ada view untuk,"
"00:13:52.590","00:13:53.690","3","khusus ke Pak Hendran-nya,"
"00:13:53.810","00:13:53.930","3","gitu."
"00:13:54.690","00:13:55.070","","Oh, baik."
"00:13:55.730","00:13:55.950","","Itu."
"00:13:56.170","00:13:56.450","","Nangkep."
"00:13:57.390","00:13:57.810","3","Nangkep ya?"
"00:13:58.490","00:13:58.670","","Ya."
"00:13:59.270","00:14:00.110","3","Tapi isiannya,"
"00:14:00.190","00:14:00.670","3","ini saya yang masih,"
"00:14:00.870","00:14:01.650","3","mungkin isiannya kemarin,"
"00:14:01.710","00:14:02.490","3","Mas Amis sudah,"
"00:14:03.050","00:14:03.870","3","ngasih data ya."
"00:14:03.870","00:14:04.630","1","Sudah kasih kemarin."
"00:14:05.110","00:14:06.650","3","Ya, khusus terhadap,"
"00:14:06.730","00:14:07.670","3","terhadap person-nya ya."
"00:14:08.410","00:14:08.770","","Betul."
"00:14:09.690","00:14:11.530","3","Ya, mungkin itu tambahannya."
"00:14:13.510","00:14:14.850","3","Coba informasi umum,"
"00:14:14.930","00:14:15.770","3","atas perusahaannya, Mas."
"00:14:15.990","00:14:16.330","3","Boleh lihat."
"00:14:16.610","00:14:17.030","3","Info umum,"
"00:14:17.110","00:14:18.550","3","ini kiri."
"00:14:18.750","00:14:18.990","3","Oke."
"00:14:19.950","00:14:20.550","3","Umum,"
"00:14:20.670","00:14:21.090","3","korporat,"
"00:14:21.210","00:14:21.610","3","mbak."
"00:14:24.610","00:14:25.330","3","Catatan,"
"00:14:25.330","00:14:26.310","3","kalau yang."
"00:14:28.590","00:14:29.810","1","Ini sebenarnya,"
"00:14:30.010","00:14:30.590","1","kayaknya harusnya,"
"00:14:30.710","00:14:31.750","1","yang ini masuk ke dalam."
"00:14:31.870","00:14:32.870","1","Ah, ya, betul."
"00:14:33.010","00:14:33.110","1","Nah, itu."
"00:14:33.510","00:14:34.170","3","Ivo pribadi,"
"00:14:34.330","00:14:34.670","3","karakter,"
"00:14:34.870","00:14:37.110","3","nah, kalau mungkin info perusahaan,"
"00:14:38.050","00:14:39.530","3","ini lebih ke,"
"00:14:40.330","00:14:41.310","3","data perusahaan yang,"
"00:14:41.570","00:14:42.130","3","kemarin mungkin,"
"00:14:42.190","00:14:43.310","3","udah di info juga."
"00:14:43.510","00:14:43.670","3","Ada,"
"00:14:44.170","00:14:44.790","3","ada lokasi,"
"00:14:44.890","00:14:45.510","3","ada NPWP,"
"00:14:45.610","00:14:46.230","3","ada SKT,"
"00:14:46.390","00:14:46.970","3","ada apa tuh."
"00:14:50.230","00:14:50.630","3","PT,"
"00:14:50.950","00:14:52.110","3","ini kan belum ada alamat ya?"
"00:14:52.810","00:14:52.990","","Ya."
"00:14:55.390","00:14:56.570","3","Oh, oke."
"00:14:56.710","00:14:57.030","3","Tapi,"
"00:14:57.550","00:14:58.150","1","umumnya mungkin,"
"00:14:58.510","00:14:59.750","1","kayak gitu ya."
"00:14:59.930","00:15:00.170","1","Oh ya,"
"00:15:00.270","00:15:00.690","1","udah tahu,"
"00:15:00.850","00:15:02.310","1","atau umum perusahaannya ya."
"00:15:02.410","00:15:02.750","1","Pembaik."
"00:15:03.550","00:15:05.210","3","sama yang WhatsApp,"
"00:15:05.890","00:15:08.150","3","WhatsApp ini kan lebih ke person,"
"00:15:08.750","00:15:09.050","3","email,"
"00:15:09.130","00:15:09.810","3","mungkin nanti emailnya,"
"00:15:09.870","00:15:10.450","3","email kantor,"
"00:15:10.550","00:15:12.130","3","atau ada website,"
"00:15:12.230","00:15:12.610","3","atau kantor."
"00:15:12.670","00:15:12.790","3","Jadi,"
"00:15:12.970","00:15:14.310","3","informasi umum ini terkait,"
"00:15:14.530","00:15:15.930","3","si perusahaan yang ada di lokasi,"
"00:15:16.590","00:15:17.850","3","segmentasi,"
"00:15:17.910","00:15:20.150","3","mungkin segmentasi lebih ke BUMNK,"
"00:15:20.690","00:15:21.710","3","atau,"
"00:15:22.390","00:15:23.430","3","swasta nasional,"
"00:15:23.530","00:15:25.030","3","atau swasta asing."
"00:15:26.170","00:15:28.070","3","mungkin,"
"00:15:28.450","00:15:28.850","3","ya ini sih,"
"00:15:29.130","00:15:29.450","3","menurut nanti,"
"00:15:29.510","00:15:30.030","3","nanti bisa,"
"00:15:30.630","00:15:30.890","3","kita,"
"00:15:31.270","00:15:32.170","3","bantu koreksi,"
"00:15:32.310","00:15:33.150","3","isian apa saja,"
"00:15:33.250","00:15:33.550","3","yang harus,"
"00:15:33.710","00:15:35.290","3","dimasukkan,"
"00:15:35.350","00:15:35.930","3","dan apa saja,"
"00:15:36.090","00:15:37.090","3","yang akan muncul gitu ya."
"00:15:37.890","00:15:38.150","","Mungkin."
"00:15:41.750","00:15:42.510","3","sejauh ini sih,"
"00:15:43.210","00:15:43.830","3","oke mas,"
"00:15:44.590","00:15:45.930","3","kita terbantu,"
"00:15:46.010","00:15:46.310","3","paling tadi,"
"00:15:46.390","00:15:47.590","3","coba bantu linkan dulu,"
"00:15:47.630","00:15:48.530","3","yang atas koreksi tadi,"
"00:15:49.470","00:15:51.150","3","mungkin atas penambahan-penambahan,"
"00:15:51.230","00:15:52.170","3","detailing informasi,"
"00:15:52.270","00:15:52.510","3","nanti,"
"00:15:53.210","00:15:53.490","3","kita,"
"00:15:54.230","00:15:54.990","3","kalau saya sih,"
"00:15:55.090","00:15:55.390","3","rasanya,"
"00:15:55.530","00:15:56.230","3","lebih enak,"
"00:15:56.290","00:15:56.710","3","pas sudah,"
"00:15:57.090","00:15:57.910","3","kita bekerja sama,"
"00:15:58.130","00:15:58.910","3","secara profesional,"
"00:15:59.730","00:16:00.270","3","itu bisa,"
